Province,City,City_compare
sk,prince-albert,Prince Albert
sk,regina,Regina
sk,rosetown,Rosetown
sk,rosthern,Rosthern
sk,saskatoon,Saskatoon
sk,shellbrook,Shellbrook
sk,swift-current,Swift Current
sk,tisdale,Tisdale
sk,wakaw,Wakaw
sk,warman,Warman
sk,weyburn,Weyburn
sk,whitewood,Whitewood
sk,yorkton,Yorkton
yt,whitehorse,Whitehorse
